rank,team,indice_final,games_played,wins_score,sos_nonconf,sos_conf,mov_capado,fcs_adjustment,contrib_wins,contrib_sos_nonconf,contrib_sos_conf,contrib_mov,contrib_fcs
37,Baylor,0.2587317101432206,1,-1.2971375089600703,0.030102677504753535,0.0,0.0,0.0,0.10881738160245946,0.0573037910067531,0.05788158595875503,0.03472895157525302,0.0
38,UNLV,0.24775858808758203,2,-0.16797926328573343,0.010955139542503137,-0.07243899576164374,0.625,0.0,0.11561710276031659,0.03374395106316618,0.06149845891506202,0.03689907534903721,0.0
39,Wisconsin,0.18391919981958002,1,-1.05,0.0,0.0,0.0,0.0,0.08841124525264299,0.020264341585964272,0.04702725811310798,0.028216354867864786,0.0
40,Cincinnati,0.16582345539596086,1,1.0754237265496043,-0.02063155878590276,0.0,0.7916666666666666,0.0,0.09234956957889599,-0.005121492547953028,0.04912211147813617,0.0294732668868817,0.0
41,Memphis,0.13921388691283598,2,1.1437367139578156,-0.005219405035153557,0.0,0.5,0.0,0.0677295361694962,0.013842192301215337,0.03602634902632777,0.021615809415796664,0.0
42,North Texas,0.1304652339724846,1,-1.0,0.0,0.0,0.0,0.0,0.05953381542720065,0.020264341585964272,0.03166692309957481,0.01900015385974489,0.0
43,East Carolina,0.12585941679511392,1,-1.0,0.0,0.0,0.0,0.0,0.05704561534287396,0.020264341585964272,0.03034341241642232,0.01820604744985339,0.0
44,Tulane,0.09807252056737041,1,-1.4209676240088136,0.00940861618942694,0.0,0.0,0.0,0.03578021895089211,0.031841051445506294,0.019032031356857507,0.011419218814114503,0.0
45,Toledo,0.07905345537856334,1,-1.4576997954650093,0.0050357386351179406,0.0,0.0,0.0,0.02841228573711517,0.026460500929009735,0.015112917945274027,0.009067750767164416,0.0
46,Washington State,0.0588558687934847,1,-0.8405398181438217,0.018983354982878366,0.0,0.0,0.0,0.00822970220585392,0.043622164710308296,0.0043775011733265526,0.0026265007039959314,0.0
47,Colorado,0.013190954997790657,1,1.3308830908506877,0.08315861469080366,0.0,0.041666666666666664,0.0,-0.059098354460825016,0.12258578134016887,-0.031435294925970754,-0.01886117695558245,0.0
48,Michigan State,0.012930297645957168,1,1.1314150507256162,0.03281669082172206,0.0,0.4166666666666667,0.0,-0.02577594305862099,0.06064321352042581,-0.013710608009904783,-0.00822636480594287,0.0
49,Western Michigan,0.009019270400901919,1,-0.6771212481293486,0.03843794665126803,0.0,0.0,0.0,-0.03162535162992512,0.06755981490735906,-0.01682199554783251,-0.010093197328699507,0.0
50,North Carolina,0.0038930001313219505,1,1.2992396876693615,0.10380461317588645,0.0,0.20833333333333334,0.0,-0.07784517214625286,0.1479893826148113,-0.0414070064607728,-0.024844203876463678,0.0
51,Wake Forest,-0.007120320742828416,1,0.712292527601327,-0.2024797487612728,0.0,0.9166666666666666,0.0,0.11979809498438673,-0.22887424124584216,0.06372239094914188,0.03823343456948513,0.0
